Frequency,Spanish,English
1,que,that
2,de,of
3,no,No
4,a,a
5,la,the
6,el,the
7,es,it is
8,y,Y
9,en,in
10,lo,it
11,un,a
12,por,by
13,qué,what
14,me,I
16,te,tea
17,los,the
18,se,I know
19,con,with
20,para,for
21,mi,me
22,está,this
24,bien,right
26,yo,me
28,las,the
30,su,its
31,tu,your
32,aquí,here
33,del,of
34,al,to the
35,como,What
36,le,you
38,esto,this
39,ya,Already
40,todo,all
41,esta,is
43,muy,very
44,hay,there are
46,algo,something
48,tengo,I've got
49,nos,us
50,tú,your
51,nada,any
52,cuando,when
53,ha,he has
54,este,East
55,sé,HE
57,así,So
58,puedo,Can I
59,cómo,What
60,quiero,I want
61,sólo,single
62,soy,am
64,gracias,Thank you
65,o,either
66,él,the
67,bueno,Okay
68,fue,it was
70,hacer,do
71,son,are
72,todos,everybody
73,era,it was
74,eres,are
75,vez,time
76,tienes,you have
77,creo,I think
78,ella,she
79,he,He
80,ese,that
81,voy,I go
82,puede,can
83,sabes,you know
85,sus,their
86,porque,because
87,dios,god
88,quién,who
89,nunca,never
90,dónde,where
91,quieres,you want
92,casa,House
93,favor,favour
94,esa,this
96,tan,so
97,señor,mister
98,tiempo,weather
99,verdad,TRUE
100,estaba,I was
101,mejor,better
102,están,is it so
103,va,goes
104,hombre,men
105,usted,you
107,hace,does
108,entonces,then
109,siento,I feel
110,tenemos,we have
111,puedes,you may
112,ahí,there
113,ti,you
114,vida,life
115,ver,watch
116,alguien,someone
117,sr,Mr
118,hasta,until
119,sin,without
120,mí,my
121,solo,only
122,años,years
123,sobre,on
124,decir,tell
125,uno,one
126,siempre,forever
127,oh,Oh
128,ir,to go
129,cosas,stuff
130,también,also
131,antes,before
132,has,you have
133,ni,neither
134,mis,my
135,día,day
136,estar,be
137,estamos,we're
138,noche,night
139,nadie,no one
140,otra,other
141,quiere,wants
142,parece,It seems
143,nosotros,us
144,poco,little bit
145,padre,dad
146,trabajo,worked
147,gente,people
148,mira,look
149,vas,you go
150,sea,be
151,les,them
152,donde,where
153,mismo,same
154,hecho,done
155,ellos,they
156,dijo,said
157,pasa,happens
158,dinero,money
159,hijo,son
160,tal,such
161,otro,other
162,hablar,speak
163,seguro,sure
164,claro,Sure
165,estas,these
166,lugar,place
167,mundo,world
168,amigo,dude
169,espera,wait
170,mierda,shit
171,han,they have
172,tus,your
173,sabe,knows
174,después,after
175,momento,moment
176,desde,since
177,fuera,outside
178,cosa,stuff
179,tipo,Type
180,mañana,morning
181,podemos,can
182,dije,said
183,gran,great
184,necesito,needed
185,estado,condition
186,podría,could
187,acuerdo,agreement
188,papá,father
189,tener,to have
190,dice,He says
191,mío,Own
192,crees,You believe
193,buena,good
194,gusta,like
195,nuestro,our
196,nuevo,new
197,será,will be
198,haciendo,making
199,días,days
200,nombre,Name
201,buen,good
202,había,there was
203,ven,come
204,tres,three
205,menos,less
206,debe,must
207,tenía,I had
208,mal,wrong
209,conmigo,with me
210,madre,mother
211,hoy,today
212,quien,who
213,sido,been
214,mamá,breast
215,tienen,have
216,luego,later
217,todas,all
218,allí,over there
219,toda,all
220,hora,hour
221,mujer,woman
222,visto,viewed
223,haces,you do
224,importa,It matters
225,contigo,with you
226,ve,go
227,tarde,afternoon
228,oye,hears
229,parte,part
230,haber,to have
231,hombres,mens
232,problema,issue
233,mas,plus
234,saber,to know
235,quería,wanted
236,aún,even
237,veces,times
238,nuestra,our
239,hacerlo,do it
240,cada,each
241,hizo,made
242,veo,I see
243,tanto,so much
244,razón,reason
245,ustedes,your
246,idea,idea
247,esos,those
248,van,go
249,quizá,Maybe
250,debo,I shall
251,alguna,some
252,cierto,certain
253,ud,You
254,muerto,dead
255,unos,some
256,estos,these
257,salir,leave
258,policía,policeman
259,realmente,Really
260,demasiado,too
261,familia,family
262,pueden,they can
263,cabeza,head
264,hemos,we have
265,amigos,friends
266,chica,girl
267,cariño,sweetie
268,lado,side
269,allá,there
270,entre,Come in
271,minutos,minutes
272,digo,say
273,algún,some
274,serio,I laughed
275,cuidado,watch out
276,pasó,I pass
277,buenas,good
278,somos,are
279,amor,love
280,puerta,gate
281,ves,you see
282,vaya,wow
283,ah,ah
284,suerte,luck
285,eh,Hey
286,rápido,Quick
287,cuenta,bill
288,quizás,maybe
289,esas,those
290,pues,well
291,pasado,past
292,pensé,I thought
293,todavía,yet
294,hermano,brother
295,debes,you should
296,casi,almost
297,forma,form
298,aqui,here
299,chico,boy
300,ok,okay
301,dicho,saying
302,nueva,new
303,sabía,I knew
304,muchas,many
305,dentro,within
306,hice,I did
307,contra,against
308,auto,auto
309,camino,road
310,ayuda,aid
311,primera,first
312,hacia,towards
313,vi,saw
314,miedo,fear
315,adiós,bye
316,primero,first
317,debería,should
318,poder,can
319,niños,kids
320,sería,would
321,historia,history
322,hey,Hey
323,mientras,while
324,ciudad,city
325,dijiste,said
326,espero,wait
327,cuánto,how many
328,esposa,wife
329,pronto,early
330,chicos,Boys
331,cualquier,any
332,viejo,old
333,debemos,must
334,deja,let
335,año,year
336,muerte,death
337,hablando,talking
338,manos,hands
339,da,gives
340,loco,crazy
341,problemas,problems
342,mano,hand
343,guerra,war
344,semana,week
345,pasar,spend
346,vale,okay
347,cuál,which
348,viene,comes
349,volver,return
350,toma,taking
351,caso,case
352,agua,Water
353,haré,I will do
354,vete,go away
355,entiendo,I get it
356,horas,hours
357,personas,people
358,capitán,captain
359,adelante,ahead
360,niño,little boy
361,listo,clever
362,noches,nights
363,buenos,good ones
364,iba,I was going
365,juntos,together
366,dame,give to me
367,único,unique
368,déjame,let me
369,cerca,close
370,otros,others
371,sigue,follow
372,grande,great
373,arriba,up
374,jefe,boss
375,habla,speech
376,supongo,I guess
377,manera,way
378,quieren,They want
379,feliz,happy
380,significa,it means
381,sangre,blood
382,fin,finish
383,bajo,bass
384,llama,call
385,venir,to come
386,morir,To die
387,importante,important
388,hiciste,did
389,ojos,eyes
390,escucha,listen
391,entrar,get in
392,ningún,none
393,corazón,heart
394,diablos,Devils
395,necesitamos,need
396,atrás,behind
397,durante,during
398,dices,You say
399,nuestros,our
400,persona,person
401,abajo,down
402,dr,Dr.
403,hija,daughter
404,dejar,let
405,necesita,needs to
406,llegar,get
407,hago,I make
408,señora,Mrs
409,haya,is
410,suficiente,enough
411,doctor,doctor
412,gustaría,would like
413,tierra,Earth
414,cara,expensive
415,siquiera,even
416,genial,cool
417,cree,Believe
